N,J,Jc,beta_E,theta0,thetaA,thetaV,mean_rate,leading_real_eig,spectral_gap,subcritical_flag
2000.0,0.49,0.6000000000000001,0.2,1.0679774997896958,0.0884133876302991,-4.438455291404433,3.3318,-67.63560687733425,67.63560687733425,1
2000.0,0.5,0.6000000000000001,0.2,2.613870885263128,0.0088116495845784,-3.673477237245288,4.17655,-74.07994262318823,74.07994262318823,1
2000.0,0.51,0.6000000000000001,0.2,1.5156418176271031,0.1636383591753908,-4.029794512094383,3.71695,-59.794110021575804,59.794110021575804,1
2000.0,0.52,0.6000000000000001,0.2,1.168391233774325,0.1950796549901116,-3.6181337966049743,3.76625,-56.63203123483731,56.63203123483731,1
2000.0,0.48,0.6000000000000001,0.2,2.629807548545749,0.2233170333796128,-3.958052859726754,4.88595,-47.722103518972034,47.722103518972034,1
2000.0,0.49,0.6000000000000001,0.2,0.417738718348049,0.0539730806890435,-4.379801320985225,3.1112,-70.8019737840062,70.8019737840062,1
2000.0,0.5,0.6000000000000001,0.2,1.1923870666115703,-0.0823347293554988,-4.0167498478158405,3.2611,-81.71254464753042,81.71254464753042,1
2000.0,0.51,0.6000000000000001,0.2,0.3094037512354065,0.1071753112576434,-3.2965603540817408,3.40045,-65.88889282084867,65.88889282084867,1
2000.0,0.52,0.6000000000000001,0.2,-1.8180056388316048,0.2482041225257436,-3.7961061892680457,2.4175,-59.99916334485037,59.99916334485037,1
2000.0,0.48,0.6000000000000001,0.2,2.902197317220233,0.1680650213589489,-3.522095599689456,5.0422,-53.814563732597705,53.814563732597705,1
2000.0,0.49,0.6000000000000001,0.2,2.6392208004120308,0.0236528301824561,-4.518285084053273,3.76895,-72.77134164209579,72.77134164209579,1
2000.0,0.5,0.6000000000000001,0.2,2.273191642422442,0.2107789182951648,-3.1990889621536955,4.92125,-49.06760620849803,49.06760620849803,1
2000.0,0.51,0.6000000000000001,0.2,0.6230380582055743,0.2556573728753926,-4.557651980070761,3.1873,-54.62858138585655,54.62858138585655,1
2000.0,0.52,0.6000000000000001,0.2,2.639320225002103,0.1928903705081332,-3.424127098052297,4.6697,-52.481495920954266,52.481495920954266,1
2000.0,0.48,0.6000000000000001,0.2,0.936284703388516,-0.0788905786171215,-4.514997234768392,2.8968,-80.71325570345192,80.71325570345192,1
2000.0,0.49,0.6000000000000001,0.2,0.9854410083853878,0.1691017315398039,-4.6815869325844455,3.17865,-61.56211952602504,61.56211952602504,1
2000.0,0.5,0.6000000000000001,0.2,2.252279668028413,0.2927246946840771,-3.327693380810722,5.00375,-38.38197022436374,38.38197022436374,1
2000.0,0.51,0.6000000000000001,0.2,1.2299652740060687,0.0901671753032554,-2.867450933943387,3.9244,-66.15369843099762,66.15369843099762,1
2000.0,0.52,0.6000000000000001,0.2,1.4201935075713028,0.0610892126306524,-3.5079761445647653,3.46175,-69.71311045439596,69.71311045439596,1
5000.0,0.48,0.6000000000000001,0.0,2.256183531684275,-0.1033465532681297,-2.6054604373150254,5.074,-88.10951028206225,88.10951028206225,1
5000.0,0.49,0.6000000000000001,0.0,2.7357511038219453,-0.0043199389819169,-2.541809580614752,5.84144,-75.6308666091632,75.6308666091632,1
5000.0,0.5,0.6000000000000001,0.0,4.126450718161145,-0.2887854057263668,-4.477581579390926,4.29684,-106.02161706853204,106.02161706853204,1
5000.0,0.51,0.6000000000000001,0.0,1.5364494230946677,0.0327097329470012,-2.549473650302262,4.87578,-71.01286345729176,71.01286345729176,1
5000.0,0.52,0.6000000000000001,0.0,-1.1803398874989486,-1.1274746891876766,2.0658784695283106,11.95494,-10.051794195849013,10.051794195849013,1
5000.0,0.53,0.6000000000000001,0.0,1.84703170275458,-0.0316833998847138,-2.9001336466210685,4.3853,-78.4735303378609,78.4735303378609,1
5000.0,0.48,0.6000000000000001,0.0,4.905343071477936,-0.0379435938255751,-4.798774128541977,4.67816,-79.4376550722763,79.4376550722763,1
5000.0,0.49,0.6000000000000001,0.0,3.5981644878804726,-0.0193873519251467,-3.622223461323184,4.7528,-77.30360515574594,77.30360515574594,1
5000.0,0.5,0.6000000000000001,0.0,4.097654750300995,-0.3093360245756241,-4.069414551275635,4.02888,-106.156943067306,106.156943067306,1
